No,"Country,Other",Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,"Serious,Critical",Tot_Cases/1M_Pop,Deaths/1M_Pop,Total_Tests,Tests/1M_Pop,Population
1,USA,6202141,28905,187573,349,3438323,12600,2576245,15941,18719.0,566.0,82407964,248722.0,331325170
2,Brazil,3866157,3846,120976,80,3031559,0,713622,8318,18167.0,568.0,14352484,67443.0,212809620
3,India,3687939,68770,65435,818,2837377,64449,785127,8944,2668.0,47.0,42307914,30608.0,1382233964
4,Russia,995319,4993,17176,83,809387,2405,168756,2300,6820.0,118.0,36696382,251440.0,145945013
5,Peru,647166,0,28788,0,455457,0,162921,1514,19584.0,871.0,3191850,96587.0,33046445
6,South Africa,627041,1985,14149,121,540923,2319,71969,539,10551.0,238.0,3693721,62152.0,59430596
7,Colombia,607938,0,19364,0,450621,0,137953,1493,11927.0,380.0,2715591,53276.0,50971805
8,Mexico,595841,4129,64158,339,412580,3453,119103,3060,4613.0,497.0,1340466,10379.0,129154932
9,Spain,462858,2489,29094,28,0,0,0,846,9899.0,622.0,9210337,196980.0,46757832
10,Chile,411726,1752,11289,45,383879,1295,16558,969,21508.0,590.0,2432436,127065.0,19143261
11,Argentina,408426,0,8498,41,301195,7188,98733,2232,9023.0,188.0,1257906,27790.0,45264053
12,Iran,375212,1642,21571,109,323233,1812,30408,3729,4458.0,256.0,3231110,38389.0,84168117
13,UK,335873,1406,41501,2,0,0,0,60,4943.0,611.0,16273209,239504.0,67945365
14,Saudi Arabia,315772,951,3897,27,290796,1129,21079,1552,9048.0,112.0,5026127,144009.0,34901495
15,Bangladesh,312996,2174,4281,33,204887,2980,103828,0,1897.0,26.0,1550203,9398.0,164958910
16,Pakistan,295849,213,6294,6,280682,135,8873,604,1335.0,28.0,2621146,11829.0,221577570
17,France,281025,3082,30635,29,86469,292,163921,409,4304.0,469.0,6461460,98954.0,65297750
18,Turkey,270133,1587,6370,44,244926,1087,18837,961,3197.0,75.0,7138492,84491.0,84487808
19,Italy,269214,996,35483,6,207653,117,26078,94,4454.0,587.0,8644859,143016.0,60446761
20,Germany,244776,1481,9371,7,217842,0,17563,245,2920.0,112.0,11208091,133702.0,83828781
21,Iraq,234934,3757,7042,83,176602,3722,51290,512,5820.0,174.0,1605904,39784.0,40365355
22,Philippines,220819,3446,3558,38,157562,165,59699,837,2011.0,32.0,2591819,23601.0,109818368
23,Indonesia,174796,2743,7417,74,125959,1774,41420,0,638.0,27.0,2224337,8118.0,273997911
24,Canada,128194,254,9120,3,113790,126,5284,50,3392.0,241.0,5440447,143940.0,37796697
25,Ukraine,121215,2141,2557,30,57114,380,61544,177,2775.0,59.0,1550280,35485.0,43688720
26,Qatar,118778,203,197,0,115667,237,2914,68,42303.0,70.0,629831,224314.0,2807805
27,Israel,116596,2576,939,20,95009,2213,20648,437,12677.0,102.0,2295951,249625.0,9197590
28,Bolivia,115968,614,4966,28,58497,1748,52505,71,9913.0,424.0,239640,20484.0,11698902
29,Ecuador,113767,119,6556,1,101669,49,5542,365,6432.0,371.0,328929,18598.0,17686402
30,Kazakhstan,105795,111,1523,0,96297,162,7975,221,5623.0,81.0,2434444,129400.0,18813391
31,Egypt,98727,0,5399,0,72120,0,21208,41,962.0,53.0,135000,1315.0,102643281
32,Dominican Republic,94715,474,1710,29,68082,1306,24923,217,8717.0,157.0,370875,34132.0,10865776
33,Panama,92065,0,1995,0,65747,0,24323,157,21283.0,461.0,334297,77281.0,4325739
